128 2032
12 38 21
12 49 64
12 50 88
12 53 85
12 56 3
12 59 93
12 61 62
12 62 13
12 68 28
12 70 15
12 71 32
12 75 20
12 78 79
12 80 16
12 82 7
12 83 41
12 86 60
12 99 51
12 100 6
12 101 94
12 102 31
12 103 8
12 114 69
12 116 23
12 117 9
12 121 100
12 122 14
12 124 33
12 127 21
13 14 43
13 22 52
13 31 5
13 34 98
13 36 83
13 40 9
13 41 45
13 47 30
13 48 92
13 49 12
13 52 40
13 56 87
13 57 73
13 59 47
13 61 78
13 72 20
13 73 76
13 78 79
13 80 29
13 83 86
13 87 3
13 90 38
13 93 10
13 97 91
13 106 68
13 109 42
13 116 71
13 117 4
13 119 100
13 123 14
13 126 56
14 48 76
14 50 68
14 51 8
14 55 46
14 56 28
14 58 73
14 60 12
14 61 77
14 63 74
14 69 92
14 73 60
14 77 80
14 79 85
14 85 1
14 87 30
14 88 80
14 89 59
14 94 22
14 96 24
14 97 48
14 100 43
14 104 59
14 108 8
14 110 46
14 112 41
14 115 83
14 121 74
15 24 88
15 33 18
15 35 67
15 40 29
15 45 80
15 62 74
15 63 34
15 74 89
15 80 82
15 83 44
15 87 73
15 94 63
15 96 96
15 99 24
15 100 65
15 105 34
15 107 100
15 116 81
15 117 65
15 118 20
15 119 87
16 28 79
16 34 44
16 47 36
16 51 1
16 54 87
16 55 66
16 65 90
16 67 57
16 72 19
16 74 9
16 78 13
16 83 53
16 88 82
16 91 95
16 92 30
16 95 69
16 98 100
16 100 21
16 101 76
16 105 14
16 110 26
16 118 13
16 119 57
16 120 70
16 122 33
16 123 81
16 124 12
17 27 36
17 32 61
17 34 92
17 35 19
17 36 52
17 37 18
17 40 82
17 41 39
17 42 74
17 43 91
17 46 61
17 50 37
17 58 80
17 60 9
17 65 94
17 73 17
17 76 14
17 88 95
17 90 42
17 91 39
17 92 74
17 93 48
17 94 72
17 106 2
17 108 98
17 115 5
17 119 11
17 123 19
17 126 100
17 127 49
18 19 70
18 24 40
18 29 9
18 30 43
18 31 55
18 33 99
18 35 97
18 37 65
18 39 54
18 43 17
18 46 43
18 53 22
18 63 32
18 65 83
18 71 22
18 85 60
18 87 1
18 93 74
18 95 83
18 96 18
18 97 25
18 101 45
18 109 84
18 112 59
18 118 87
18 119 82
19 23 13
19 25 19
19 29 35
19 31 6
19 38 3
19 39 46
19 40 87
19 41 37
19 46 73
19 48 73
19 50 90
19 53 67
19 56 38
19 59 34
19 61 8
19 63 53
19 85 70
19 90 50
19 97 69
19 98 98
19 101 6
19 102 50
19 105 84
19 107 96
19 108 37
19 109 55
19 113 67
19 116 33
19 118 35
19 121 19
20 21 75
20 22 31
20 23 56
20 30 19
20 45 21
20 52 58
20 53 80
20 54 32
20 56 45
20 60 85
20 61 35
20 62 42
20 65 52
20 66 63
20 69 35
20 70 32
20 76 8
20 85 23
20 94 74
20 100 59
20 103 54
20 104 79
20 120 55
20 121 60
21 23 81
21 24 10
21 35 60
21 40 59
21 44 34
21 47 60
21 49 98
21 54 78
21 56 96
21 59 38
21 63 87
21 69 33
21 70 49
21 73 92
21 79 36
21 80 92
21 83 29
21 91 31
21 92 1
21 98 80
21 100 35
21 103 28
21 108 21
21 111 10
21 112 60
21 124 75
21 127 37
22 23 87
22 30 10
22 33 1
22 35 87
22 36 2
22 37 47
22 39 77
22 41 84
22 50 58
22 54 77
22 63 95
22 65 67
22 67 1
22 69 37
22 72 85
22 75 37
22 77 97
22 79 38
22 86 100
22 89 45
22 103 18
22 111 59
22 112 35
22 114 97
22 118 49
22 123 71
22 125 27
23 24 100
23 25 46
23 33 80
23 44 95
23 45 63
23 46 26
23 63 100
23 64 98
23 66 30
23 71 70
23 72 38
23 74 10
23 77 40
23 80 11
23 82 63
23 85 81
23 88 2
23 89 83
23 96 13
23 102 54
23 110 53
23 112 83
23 113 31
23 117 71
23 120 71
23 122 69
23 123 51
23 127 59
24 25 76
24 27 34
24 28 86
24 36 51
24 37 34
24 43 5
24 44 32
24 45 6
24 49 74
24 60 66
24 68 80
24 69 97
24 80 93
24 85 18
24 94 21
24 95 63
24 102 26
24 104 73
24 111 61
24 112 52
24 120 57
24 121 57
24 125 60
25 33 97
25 36 51
25 42 35
25 50 35
25 57 69
25 59 70
25 66 21
25 68 60
25 75 22
25 77 72
25 79 100
25 82 58
25 91 32
25 92 29
25 93 37
25 94 56
25 96 15
25 103 36
25 106 15
25 113 67
25 115 53
25 118 45
25 120 49
26 29 53
26 35 91
26 37 10
26 39 7
26 43 52
26 50 53
26 52 51
26 57 42
26 63 87
26 66 50
26 73 3
26 77 98
26 78 5
26 83 47
26 85 30
26 93 40
26 96 84
26 106 44
26 110 69
26 115 25
26 119 70
26 120 55
26 125 18
26 126 24
27 32 98
27 34 39
27 35 8
27 39 34
27 41 76
27 49 54
27 53 81
27 67 12
27 70 41
27 72 15
27 74 60
27 78 78
27 79 75
27 81 31
27 82 73
27 84 47
27 86 26
27 87 68
27 88 81
27 89 5
27 90 14
27 95 57
27 101 50
27 102 18
27 104 51
27 107 90
27 109 85
27 116 78
27 127 91
28 40 44
28 63 62
28 66 17
28 69 24
28 73 24
28 76 62
28 83 56
28 101 67
28 105 30
28 110 47
28 123 18
28 124 4
29 30 77
29 32 45
29 37 4
29 39 77
29 40 1
29 42 57
29 54 36
29 57 13
29 71 37
29 72 17
29 74 39
29 79 13
29 80 37
29 84 11
29 85 24
29 86 17
29 87 82
29 94 5
29 96 31
29 100 27
29 102 69
29 110 49
29 122 99
29 123 49
29 126 92
30 31 97
30 33 42
30 37 35
30 40 100
30 49 22
30 56 4
30 60 2
30 61 43
30 66 95
30 67 13
30 79 70
30 80 64
30 87 49
30 91 5
30 95 27
30 96 82
30 97 61
30 99 28
30 100 45
30 101 61
30 102 26
30 112 83
30 113 21
30 116 36
30 120 93
30 122 74
30 124 55
30 125 67
30 127 34
31 32 56
31 33 61
31 39 2
31 40 2
31 44 73
31 53 8
31 55 30
31 61 14
31 63 87
31 65 20
31 66 59
31 71 16
31 75 19
31 79 74
31 81 88
31 83 36
31 84 8
31 86 82
31 87 64
31 88 77
31 91 58
31 92 6
31 94 87
31 95 93
31 100 71
31 101 84
31 103 32
31 106 57
31 113 82
31 116 59
32 36 79
32 37 99
32 46 6
32 52 76
32 53 78
32 55 30
32 62 8
32 65 68
32 67 73
32 70 33
32 74 11
32 75 82
32 76 13
32 78 4
32 89 89
32 104 61
32 106 57
32 107 62
32 108 28
32 110 54
32 111 42
32 112 71
32 117 37
32 118 20
33 34 63
33 35 25
33 39 84
33 41 50
33 43 23
33 46 82
33 56 89
33 57 38
33 58 36
33 65 14
33 73 7
33 79 51
33 82 99
33 84 42
33 86 46
33 91 75
33 98 49
33 101 98
33 103 25
33 108 63
33 109 78
33 116 52
33 124 88
33 125 1
33 126 70
33 127 27
34 45 96
34 50 45
34 64 4
34 72 40
34 76 27
34 78 38
34 80 61
34 81 90
34 86 72
34 88 95
34 91 11
34 93 24
34 94 42
34 105 71
34 109 24
34 111 35
34 114 17
34 120 5
34 124 89
34 125 63
35 38 12
35 44 34
35 46 19
35 47 37
35 48 18
35 52 44
35 64 47
35 69 48
35 75 49
35 80 86
35 81 55
35 84 42
35 87 5
35 88 52
35 93 10
35 103 29
35 111 61
35 113 2
35 115 32
35 116 22
35 127 4
36 39 73
36 42 90
36 43 52
36 44 31
36 47 42
36 49 45
36 58 14
36 69 4
36 71 6
36 74 19
36 83 68
36 99 4
36 100 20
36 108 53
36 110 92
36 111 34
36 114 44
36 116 53
36 118 17
37 48 31
37 51 96
37 58 73
37 60 65
37 61 77
37 65 42
37 66 35
37 73 7
37 85 49
37 86 77
37 92 37
37 95 72
37 98 21
37 104 47
37 105 57
37 107 26
37 111 11
37 112 30
37 117 91
37 118 65
37 125 38
38 41 30
38 45 34
38 49 77
38 56 86
38 61 84
38 65 24
38 67 64
38 73 50
38 77 58
38 81 88
38 86 52
38 88 57
38 92 43
38 94 81
38 97 89
38 100 90
38 101 21
38 109 9
38 113 24
38 122 68
38 126 24
39 46 99
39 49 22
39 52 40
39 58 52
39 59 59
39 60 94
39 61 34
39 63 56
39 69 3
39 71 42
39 76 49
39 77 28
39 78 10
39 79 99
39 83 29
39 87 82
39 88 25
39 94 76
39 99 38
39 109 95
39 111 17
39 113 14
39 114 86
39 115 57
39 116 74
39 117 86
39 122 3
39 123 17
40 45 63
40 51 89
40 54 70
40 63 49
40 66 56
40 71 90
40 78 62
40 82 99
40 87 5
40 89 47
40 92 2
40 98 66
40 104 67
40 115 78
40 116 25
40 117 15
40 119 22
40 120 77
40 122 91
40 123 69
41 44 75
41 45 73
41 50 16
41 52 24
41 55 89
41 56 77
41 63 8
41 67 15
41 68 10
41 81 50
41 89 74
41 91 52
41 93 20
41 94 28
41 95 87
41 100 22
41 103 62
41 104 29
41 119 82
41 125 81
41 126 13
41 127 17
42 44 98
42 57 95
42 59 12
42 63 55
42 66 14
42 71 20
42 72 2
42 73 88
42 74 95
42 83 94
42 86 59
42 91 29
42 92 60
42 94 88
42 95 58
42 97 56
42 101 66
42 104 43
42 110 98
42 113 39
42 114 35
42 119 51
42 126 34
43 45 18
43 48 64
43 54 13
43 58 33
43 62 83
43 63 92
43 64 16
43 68 90
43 69 24
43 75 65
43 83 72
43 85 77
43 86 1
43 89 20
43 94 5
43 97 34
43 99 42
43 103 18
43 109 18
43 112 66
43 113 75
43 116 41
43 119 35
43 124 81
44 45 100
44 48 62
44 52 2
44 54 89
44 57 100
44 62 15
44 65 15
44 67 70
44 75 90
44 82 34
44 83 30
44 95 73
44 98 82
44 104 45
44 110 32
44 115 7
44 123 29
44 126 56
45 46 22
45 51 35
45 57 62
45 59 28
45 68 54
45 71 89
45 83 46
45 86 64
45 89 59
45 98 91
45 100 99
45 104 48
45 106 26
45 111 69
45 119 32
45 120 61
45 123 2
45 127 95
46 49 91
46 50 79
46 52 73
46 54 34
46 56 86
46 60 18
46 61 93
46 62 93
46 63 67
46 64 13
46 67 50
46 87 39
46 92 19
46 96 59
46 108 19
46 113 33
46 117 11
46 118 50
46 122 75
46 124 73
46 125 98
47 59 45
47 60 55
47 67 32
47 72 40
47 73 73
47 74 8
47 75 54
47 76 39
47 78 66
47 83 83
47 88 22
47 94 89
47 97 57
47 98 86
47 114 29
47 121 1
47 122 72
48 54 66
48 55 39
48 59 46
48 62 32
48 63 5
48 67 90
48 70 97
48 81 69
48 83 21
48 84 32
48 85 44
48 86 95
48 92 29
48 94 89
48 111 61
48 113 55
48 122 10
49 50 67
49 63 82
49 66 66
49 70 91
49 75 6
49 84 63
49 85 83
49 88 80
49 91 77
49 95 1
49 98 92
49 99 26
49 100 52
49 105 33
49 106 39
49 108 19
49 112 13
49 116 53
49 122 50
49 127 41
50 53 41
50 73 44
50 80 83
50 82 21
50 88 39
50 89 69
50 90 16
50 91 58
50 92 49
50 94 40
50 100 45
50 104 15
50 105 23
50 112 75
50 114 74
50 115 81
50 117 94
50 118 84
51 52 34
51 54 28
51 56 52
51 57 35
51 61 77
51 89 40
51 96 14
51 97 16
51 106 43
51 111 80
51 115 35
51 121 92
51 127 92
52 56 18
52 58 32
52 60 17
52 66 100
52 74 22
52 82 38
52 83 93
52 86 39
52 87 45
52 89 75
52 91 39
52 94 71
52 100 100
52 106 100
52 111 8
52 113 99
52 119 92
52 126 42
53 54 3
53 57 18
53 61 52
53 62 97
53 85 72
53 88 63
53 98 62
53 102 65
53 103 67
53 105 40
53 114 63
53 115 79
53 117 62
53 125 8
54 55 74
54 56 37
54 58 98
54 59 60
54 64 40
54 67 97
54 68 38
54 69 6
54 74 81
54 84 7
54 88 65
54 101 91
54 103 36
54 105 85
54 106 95
54 110 69
54 113 9
54 115 40
54 120 62
54 121 24
54 127 41
55 56 34
55 59 94
55 75 47
55 78 37
55 79 93
55 81 1
55 90 32
55 97 71
55 100 47
55 105 21
55 106 4
55 107 95
55 108 78
55 111 80
55 121 65
56 58 84
56 59 30
56 61 59
56 67 50
56 68 75
56 75 66
56 78 54
56 79 75
56 81 33
56 85 77
56 97 42
56 104 50
56 108 63
56 115 15
56 118 15
56 120 3
56 123 35
56 124 28
56 125 19
56 127 19
57 58 83
57 59 84
57 65 9
57 66 37
57 68 22
57 74 67
57 76 11
57 77 15
57 78 95
57 96 14
57 111 63
57 112 13
57 115 73
57 119 88
57 122 83
58 69 48
58 70 49
58 71 69
58 75 17
58 76 14
58 91 29
58 95 95
58 99 45
58 101 88
58 103 7
58 108 97
58 110 22
58 118 18
58 120 96
59 64 96
59 66 26
59 75 73
59 76 1
59 77 50
59 90 63
59 93 85
59 94 37
59 95 70
59 101 56
59 102 100
59 106 45
59 117 15
59 119 74
59 124 15
60 61 71
60 62 53
60 65 83
60 70 95
60 72 20
60 81 58
60 90 54
60 93 81
60 94 91
60 97 16
60 98 78
60 108 18
60 110 25
60 114 10
60 117 46
60 119 74
60 120 39
60 124 26
61 62 89
61 70 67
61 74 24
61 78 10
61 80 21
61 86 37
61 95 11
61 98 45
61 102 21
61 108 12
61 113 27
61 114 53
61 115 96
62 69 96
62 71 55
62 74 13
62 76 23
62 86 52
62 87 46
62 92 75
62 101 32
62 107 46
62 109 93
62 111 66
62 112 23
62 113 37
62 115 66
62 116 40
62 127 32
63 64 73
63 65 25
63 67 30
63 68 94
63 70 98
63 73 69
63 75 72
63 77 92
63 79 18
63 80 24
63 82 45
63 93 84
63 95 53
63 96 43
63 97 59
63 102 1
63 104 75
63 116 70
63 123 75
63 125 18
64 66 8
64 67 43
64 71 72
64 73 95
64 81 45
64 85 20
64 88 25
64 91 65
64 102 30
64 106 76
64 122 83
65 66 9
65 67 84
65 71 40
65 73 52
65 76 88
65 77 14
65 82 82
65 87 34
65 89 5
65 99 27
65 105 45
65 108 29
65 115 15
65 119 30
65 123 50
65 127 71
66 70 9
66 71 9
66 72 97
66 73 72
66 76 68
66 78 86
66 81 76
66 84 14
66 87 68
66 88 32
66 89 69
66 90 55
66 96 39
66 97 92
66 101 23
66 102 68
66 107 88
66 109 86
66 110 68
66 114 72
66 121 52
66 124 46
66 126 34
67 84 36
67 88 3
67 89 58
67 91 62
67 95 70
67 96 7
67 98 29
67 121 73
68 70 88
68 71 23
68 74 56
68 75 27
68 77 81
68 79 88
68 82 51
68 86 3
68 90 1
68 91 73
68 94 29
68 96 65
68 98 33
68 100 73
68 106 26
68 110 1
68 111 10
68 112 69
68 113 18
68 118 32
68 119 22
68 121 8
68 126 19
69 74 84
69 76 73
69 78 74
69 79 72
69 80 17
69 82 79
69 84 73
69 85 7
69 86 28
69 96 98
69 97 86
69 103 89
69 106 77
69 107 54
69 110 40
69 115 93
69 117 89
69 118 5
69 119 79
69 120 68
69 127 30
70 74 5
70 81 49
70 83 85
70 88 4
70 90 57
70 92 6
70 98 22
70 114 93
70 118 8
71 73 62
71 78 9
71 80 94
71 83 84
71 88 93
71 92 86
71 99 43
71 104 99
71 111 50
71 113 32
71 114 44
71 115 55
71 119 62
71 121 81
71 124 93
72 76 28
72 78 36
72 81 8
72 92 25
72 94 92
72 95 8
72 97 84
72 102 64
72 105 59
72 108 11
72 114 83
72 118 14
72 121 96
72 122 77
73 85 19
73 93 70
73 101 54
73 105 67
73 111 81
73 114 88
73 115 70
73 118 23
73 121 39
73 126 82
74 78 85
74 89 95
74 91 28
74 97 19
74 98 49
74 99 66
74 102 8
74 103 89
74 105 54
74 106 21
74 110 55
74 113 1
74 114 42
74 117 54
74 123 93
74 127 32
75 78 82
75 83 73
75 86 2
75 88 4
75 93 48
75 94 18
75 98 69
75 103 60
75 108 33
75 109 92
75 112 78
75 113 16
75 120 95
75 125 72
76 77 8
76 78 50
76 82 53
76 87 90
76 95 86
76 96 49
76 99 50
76 100 46
76 103 54
76 107 83
76 110 19
76 122 8
76 124 36
77 79 58
77 81 5
77 83 4
77 87 98
77 94 38
77 95 88
77 100 83
77 101 29
77 105 14
77 107 34
77 108 30
77 111 80
77 112 70
77 117 86
77 121 69
77 124 99
77 126 20
77 127 73
78 88 82
78 94 17
78 97 47
78 100 47
78 102 55
78 103 34
78 104 26
78 106 29
78 118 54
78 122 16
78 125 37
79 82 72
79 85 21
79 86 69
79 89 10
79 91 55
79 97 78
79 103 79
79 106 49
79 111 4
79 115 71
79 118 52
79 119 21
79 121 88
79 124 57
79 127 20
80 82 17
80 92 42
80 93 91
80 96 54
80 99 79
80 103 21
80 104 4
80 107 80
80 110 17
80 111 65
80 114 12
80 120 27
80 124 58
80 126 14
81 82 57
81 87 3
81 90 81
81 96 49
81 99 12
81 105 86
81 109 94
81 114 75
81 117 6
81 118 66
81 121 13
81 126 97
82 83 53
82 84 68
82 90 25
82 91 44
82 92 98
82 98 13
82 100 79
82 108 11
82 118 55
82 120 7
82 125 9
83 88 82
83 89 64
83 97 56
83 106 29
83 108 68
83 109 99
83 110 22
83 120 85
83 122 98
83 124 99
83 126 83
84 87 22
84 90 44
84 92 92
84 93 99
84 97 3
84 99 6
84 109 63
84 116 16
84 117 86
84 120 79
84 122 75
84 125 49
85 86 62
85 90 14
85 97 98
85 109 27
85 110 37
85 114 16
85 119 56
85 124 78
86 101 89
86 104 32
86 107 12
86 112 32
86 115 68
86 120 81
86 126 19
86 127 99
87 89 26
87 90 32
87 101 83
87 102 61
87 105 42
87 106 43
87 107 76
87 110 96
87 116 17
87 118 57
87 120 8
88 92 70
88 96 53
88 97 54
88 98 57
88 99 33
88 101 32
88 105 26
88 107 33
88 110 73
88 116 28
88 119 99
88 123 68
88 125 17
88 127 2
89 91 43
89 95 100
89 98 33
89 99 19
89 102 24
89 103 74
89 104 95
89 105 30
89 108 13
89 113 82
89 120 43
89 121 88
90 92 42
90 100 59
90 102 70
90 105 95
90 106 33
90 107 51
90 108 33
90 111 67
90 114 63
90 118 47
90 122 48
90 125 35
90 126 53
91 103 65
91 107 42
91 109 10
91 111 67
91 112 5
91 113 65
91 116 100
91 118 74
92 94 41
92 97 52
92 104 90
92 112 27
93 98 36
93 109 25
93 116 59
93 119 99
93 125 84
93 127 94
94 96 52
94 98 59
94 100 26
94 108 92
94 113 80
94 114 62
94 123 56
94 126 97
95 97 13
95 100 32
95 103 83
95 108 71
95 110 62
95 114 68
95 124 58
95 126 46
96 101 87
96 103 72
96 104 49
96 105 8
96 108 78
96 112 92
96 114 1
96 115 78
96 127 30
97 107 89
97 116 55
97 122 45
97 123 33
97 126 59
98 100 69
98 101 17
98 102 58
98 106 56
98 108 72
98 110 72
98 113 74
98 117 18
98 118 69
98 123 96
98 127 72
99 103 38
99 120 73
99 121 50
100 110 42
100 118 8
100 120 26
100 125 92
100 126 17
100 127 53
101 110 78
101 111 4
101 114 42
101 116 74
101 124 50
101 127 33
102 103 6
102 107 89
102 115 17
102 116 64
103 105 35
103 106 97
103 114 22
103 115 2
103 116 94
103 117 71
103 118 12
103 121 70
103 124 86
103 127 38
104 107 4
104 116 11
104 120 1
104 124 4
105 106 33
105 111 1
105 115 75
105 127 18
106 107 97
106 108 9
106 111 6
106 114 98
106 116 45
107 111 62
107 113 66
107 115 7
107 116 47
107 121 24
108 118 77
108 122 15
108 123 41
109 111 80
109 112 23
109 114 43
109 115 99
109 118 57
109 120 77
109 123 12
109 124 30
109 126 69
109 127 88
110 111 19
110 116 25
110 117 70
110 118 96
110 124 82
111 112 58
111 118 5
111 120 69
111 126 42
111 127 39
112 121 27
113 119 63
113 125 1
113 127 67
114 115 94
114 117 18
114 119 59
114 123 36
115 120 90
115 121 99
116 119 76
116 125 4
117 118 70
117 123 78
117 127 90
118 122 79
118 125 23
118 127 71
119 122 77
119 126 20
120 123 72
120 124 79
120 127 31
121 122 64
121 124 40
121 125 44
123 124 13
124 125 89
125 126 24
